Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2013-12-01,4.87,313.57,24.95,28,0
2013-12-01,10.33,892.43,61.73,28,0
2014-01-11,3.86,0,17.9,29,41
2014-01-20,2.09,304.79,13.18,29,9
2014-01-25,3.88,330.06,21.4,29,5
2014-02-08,12.26,369.68,215.53,29,14
2014-02-11,4.91,454.37,28.07,29,3
2014-02-20,12.98,1173.86,76.85,29,9
2014-03-09,15.11,1620.08,97.72,29,17
2014-03-16,15.08,530.18,71.52,29,7
2014-04-09,13.63,158.55,71.65,29,24
2014-04-14,9.8,2112.44,112.42,29,5
2014-04-26,16.99,123.52,89.05,29,12
2014-04-29,3.21,307.95,28.07,29,3
2014-05-01,4.68,346.62,43.45,29,2
2014-05-03,3.86,244.71,27.27,29,2
2014-05-04,19.5,2259.98,140.35,29,1
2014-05-11,21.79,788.09,112.57,29,7
2014-05-18,13.78,951.86,94.48,29,7
2014-05-31,4.14,183.21,20.9,29,13
2014-06-01,20.13,476.25,113.98,29,1
2014-06-05,6.33,651.24,37.03,29,4
2014-06-08,23.8,1836.19,136.68,29,3
2014-06-13,12.21,1285.43,70.87,29,5
2014-06-19,15.43,465.9,49.02,29,6
2014-06-25,2.46,0,14.05,29,6
2014-07-03,6.99,764.85,39.18,29,8
2014-07-04,13.74,1504.63,86,29,1
2014-07-18,6.92,82.28,35.05,29,14
2014-07-20,9.29,879.9,56.35,29,2
2014-07-24,4.13,268.76,20.87,29,4
2014-07-26,8.03,0,38.73,29,2
2014-07-26,25.28,3282.12,175.7,29,0
2018-07-15,40.61,3452.01,279.6,33,1450
2018-07-21,30.3,1261.44,170.72,33,6
2018-07-22,21.27,2397.65,168.82,33,1
2018-07-30,21.5,812.94,118.02,33,8
2018-08-03,32.2,3569.33,217.67,33,4
2018-08-04,28.98,1118.32,194.37,33,1
2018-08-13,21.66,816.34,120.23,33,9
2018-08-16,13.1,630.71,72.4,33,3
2018-08-20,61.05,4604.52,453.75,33,4
2018-08-26,21.41,793.36,112.45,33,6
2018-08-30,13.02,888.85,66.65,33,4
2018-09-01,40.31,3266.55,267.87,33,2
2018-09-08,32.16,275.07,182.32,33,7
2018-09-22,115.02,8177.21,979.48,33,14
2018-11-30,10.6,308.4,53.57,33,69
2018-12-03,7.24,472.44,42.95,33,3
2018-12-05,8.69,387.14,45.12,33,2
2018-12-08,12.72,718.5,78.68,33,3
2018-12-13,10.35,324.8,51.72,33,5
2018-12-15,7.31,328.08,42.32,33,2
2018-12-19,7.54,439.63,38.42,33,4
2018-12-21,11.27,774.28,61.95,33,2
2018-12-23,6.46,557.74,35.48,33,2
2018-12-25,7.32,337.93,38.43,33,2
2018-12-29,8.32,666.01,46.97,33,4
2018-12-30,5.86,91.86,38.53,33,1
2019-01-01,9.86,925.2,59.88,34,2
2019-01-02,11.82,45.93,59.27,34,1
2019-01-04,8.94,1607.61,65.78,34,2
2019-01-06,10.89,557.74,63.92,34,2
2019-01-11,5.06,141.08,26.37,34,5
2019-01-15,4.24,567.59,26.8,34,4
2019-01-16,11.99,219.82,58.15,34,1
2019-01-17,3.23,203.41,19.02,34,1
2019-01-19,13.18,695.54,76.23,34,2
2019-01-20,18.73,1236.88,113.52,34,1
2019-01-23,3.35,0,26.13,34,3
2019-01-23,11.67,1108.92,80.77,34,0
2019-01-25,7.71,337.93,42.75,34,2
2019-01-25,10.34,255.91,50.97,34,0
2019-01-27,21.73,788.41,118,34,2
2019-01-29,7.4,341.21,41.58,34,2
2019-01-30,4.84,311.68,28.15,34,1
2019-02-02,29.19,1161.84,161.55,34,3
2019-02-03,16.02,1137.85,90.28,34,1
2019-02-06,7.37,360.89,39.53,34,3
2019-02-06,9.68,702.1,52.15,34,0
2019-02-09,12.88,1272.97,82.25,34,3
2019-02-10,9.82,472.44,52.2,34,1
2019-02-13,5.13,104.99,25.58,34,3
2019-02-14,9.67,449.48,52.33,34,1
2019-02-15,9.93,774.61,53.18,34,1
2019-02-16,33.98,2179.09,206.77,34,1
2019-02-18,10.5,475.72,58.08,34,2
2019-02-20,1.8,29.53,13.82,34,2
2019-02-23,7.05,439.63,37.25,34,3
2019-02-24,28.97,1167.98,161.98,34,1
2019-02-26,5.01,551.18,32.22,34,2
2019-02-28,8.28,390.42,46.22,34,2
2019-02-28,11.71,446.19,55.83,34,0
2019-03-03,41.3,3704.07,280.42,34,3
