Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2015-02-15,17.87,76.35,79.65,34,0
2015-02-17,8.2,34.53,35.63,34,2
2015-02-18,4.99,33.75,23.65,34,1
2015-02-19,9.91,36.69,40.45,34,1
2015-02-20,19.33,479.89,87.25,34,1
2015-02-23,5,0,23.38,34,3
2015-02-23,4.98,33.61,23.88,34,0
2015-02-24,10.05,36.72,43.65,34,1
2015-02-25,4.92,33.21,23.72,34,1
2015-02-28,10.17,36.97,40.83,34,3
2015-03-01,21.11,116.25,94.88,34,1
2015-03-03,10.06,34.7,44.2,34,2
2015-03-04,4.96,34.8,24.12,34,1
2015-03-05,4.96,32.91,23.47,34,1
2015-03-06,12,275.2,55.13,34,1
2015-03-07,22.68,71.2,101.1,34,1
2015-03-10,12.32,35.08,54.25,34,3
2015-03-11,6.6,34.5,31.92,34,1
2015-03-12,6.59,34.21,31.82,34,1
2015-03-14,4.86,0,22.63,34,2
2015-03-15,21.17,525.95,84.58,34,1
2015-03-15,21.17,525.95,84.62,34,0
2015-03-17,6.64,0,31.5,34,2
2015-03-18,12.94,39.87,56.35,34,1
2015-03-19,6.61,0,30.85,34,1
2015-03-20,13.11,236.51,54.93,34,1
2015-03-22,25.85,1391.48,123.72,34,2
2015-03-24,15.21,183.9,66.57,34,2
2015-03-25,6.66,33.84,31.78,34,1
2015-03-26,6.69,34.97,32.17,34,1
2015-03-27,13.04,245.01,62.03,34,1
2015-03-29,27.55,461.4,118.17,34,2
2015-03-31,14.77,38.35,64.75,34,2
2015-04-01,6.68,34.16,32.8,34,1
2015-04-02,6.64,33.5,31.98,34,1
2015-04-03,14.58,348.38,59.8,34,1
2015-04-04,30.79,444.7,143.75,34,1
2015-04-06,8.2,34.59,39.17,34,2
2015-04-07,16.41,176.8,77.5,34,1
2015-04-08,8.18,34.45,39.17,34,1
2015-04-10,16.26,289.06,75.7,34,2
2015-04-11,32.23,431.53,136.92,34,1
2015-04-13,8.16,34.45,39.17,34,2
2015-04-14,9.92,35.85,47.35,34,1
2015-04-15,8.19,34.45,38.75,34,1
2015-04-17,16.29,172.35,69.88,34,2
2015-04-18,25.78,1436.33,121.52,34,1
2015-04-20,8.18,34.45,39.57,34,2
2015-04-21,16.44,183.65,73.37,34,1
2015-04-22,8.15,34.49,38.52,34,1
2015-04-24,16.13,282.22,65.13,34,2
2015-04-25,34.35,2060.61,160.62,34,1
2015-04-27,8.16,34.43,39.13,34,2
2015-04-28,9.96,36.85,47.52,34,1
2015-04-29,8.16,34.1,38.77,34,1
2015-04-30,16.44,191.04,70.45,34,1
2015-05-02,25.84,1688.41,128.98,34,2
2015-05-04,8.29,37.65,38.1,34,2
2015-05-05,16.27,110.95,66.33,34,1
2015-05-06,8.07,33.27,37.73,34,1
2015-05-08,16.21,286.18,76.6,34,2
2015-05-10,35.42,457.74,157.7,34,2
2015-05-11,8.19,33.24,39.88,34,1
2015-05-12,8.16,33.68,39.13,34,1
2015-05-13,14.18,41.21,60.5,34,1
2015-05-15,6.59,0,26.05,34,2
2015-05-16,26.22,375.51,122.93,34,1
2015-05-18,6.48,0,30.93,34,2
2015-05-19,10.68,36.81,47.18,34,1
2015-05-20,6.6,33.81,31.2,34,1
2015-05-22,6.61,0,26.35,34,2
2015-05-23,13.88,121.46,64.37,34,1
2015-05-25,8.14,34.54,37.77,34,2
2015-05-27,10.76,36.52,46.87,34,2
2015-05-28,6.65,0,31.65,34,1
2015-05-29,4.88,74.8,22.98,34,1
2015-05-30,42.32,251.23,171.42,34,1
2015-06-04,4.86,0,23.22,34,5
2015-06-05,9.99,74.75,38.58,34,1
2015-06-08,6.67,34.43,32.02,34,3
2015-06-09,4.86,0,23.05,34,1
2015-06-12,4.95,35.23,23.52,34,3
2015-06-13,51.01,8934.65,327.17,34,1
2015-06-22,4.97,33.01,23.45,34,9
2015-06-23,4.96,0,22.88,34,1
2015-06-24,8.2,34.51,38.5,34,1
2015-06-26,10.02,35.3,46.8,34,2
2015-06-27,17.78,174.73,81.3,34,1
2015-06-30,10,33.02,46.3,34,3
2015-07-01,6.62,33.97,31.02,34,1
2015-07-02,10.15,35.35,45.43,34,1
2015-07-03,6.84,0,30.95,34,1
2015-07-05,20,483.69,94.25,34,2
2015-07-07,10.55,34.62,45.38,34,2
2015-07-08,6.64,34.44,31.38,34,1
2015-07-10,6.63,34.26,32.13,34,2
2015-07-11,4.98,0,23.23,34,1
2015-07-12,20.93,1878.1,91.7,34,1
2015-07-16,6.66,34.98,31.28,34,4
2015-07-18,10.07,36.61,43.45,34,2
2015-07-19,9.14,227.18,45.67,34,1
2015-07-23,8.17,34.49,36.87,34,4
2015-07-26,21.27,268.36,93.9,34,3
2015-07-28,8.24,34.58,37.42,34,2
