Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2018-02-23,3.65,83.93,25.05,28,0
2018-02-26,3.64,84.81,26.57,28,3
2018-02-27,3.57,84.44,26.72,28,1
2018-03-10,3.58,86.72,26.23,28,11
2018-03-10,3.44,79.33,25.78,28,0
2018-03-17,3.01,60.88,21.87,28,7
2018-03-19,3.82,104.59,27.27,28,2
2018-03-31,6.84,320.99,49.92,28,12
2018-04-06,6.91,321.23,48.78,28,6
2018-04-09,7.19,320.74,51.97,28,3
2018-04-11,7.14,320.23,49.98,28,2
2018-04-14,6.29,285.24,44.85,28,3
2018-04-16,7.14,320.87,51.18,28,2
2018-04-20,6.99,322.7,53.92,28,4
2018-04-22,10.13,513.83,76.85,28,2
2018-04-23,3.5,85.4,24.95,28,1
2018-04-25,7.38,320.94,54.12,28,2
2018-04-26,7.21,320.5,54.72,28,1
2018-04-29,7.27,322.51,50.68,28,3
2018-04-29,13.82,686.6,104.48,28,0
2018-05-02,7.16,320.94,54.47,28,3
2018-05-03,7.1,320.99,52.17,28,1
2018-05-04,7.21,319.91,51.98,28,1
2018-05-05,16.13,628.17,115.97,28,1
2018-05-06,7.13,320.48,51.72,28,1
2018-05-08,7.23,320.88,49.58,28,2
2018-05-10,7.18,320.02,48.62,28,2
2018-05-11,7.16,320.03,47.67,28,1
2018-05-12,7.18,319.74,46.9,28,1
2018-05-13,7.22,319.53,49.48,28,1
2018-05-15,7.17,321.23,44.67,28,2
2018-05-16,7.19,319.85,49.83,28,1
2018-05-18,7.22,319.86,47.45,28,2
2018-05-20,7.3,321.67,46.73,28,2
2018-05-20,7.21,319.89,47.18,28,0
2018-05-23,7.36,320.11,49.37,28,3
2018-05-25,7.23,248.87,41.25,28,2
2018-05-27,7.22,320.24,49.3,28,2
2018-05-28,7.56,325.5,52.43,28,1
2018-05-29,7.2,319.75,49.72,28,1
2018-06-03,7.24,319.72,51.1,28,5
2018-06-03,7.32,319.21,51.98,28,0
2018-06-05,7.25,319.51,53.4,28,2
2018-06-17,7.25,320,48.02,28,12
2018-06-17,7.32,319.49,52.27,28,0
2018-06-20,7.18,319.53,50.95,28,3
2018-06-25,7.21,319.73,49.52,28,5
2018-06-26,7.3,319.9,56.7,28,1
2018-07-03,7.25,319.89,49.52,28,7
2018-07-04,7.37,319.45,53.73,28,1
2018-07-06,2.58,0,20.58,28,2
2018-07-08,7.37,318.91,53.22,28,2
2018-07-08,7.26,319.72,52.4,28,0
2018-07-11,7.25,319.79,48.37,28,3
2018-07-12,7.21,320.13,49.8,28,1
2018-07-14,7.03,393.84,45.52,28,2
2018-07-16,7.77,436.03,51.58,28,2
