Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2012-01-09,10.7,362,55.35,25,0
2012-06-05,10.64,364.42,53.9,25,148
2012-07-07,8.34,373.38,52.07,25,32
2012-09-30,5.86,3191.79,72.03,25,85
2013-05-27,10.97,363.75,59.5,26,239
2014-06-17,9.22,3443.49,97.85,27,386
2014-07-12,11.32,336.24,57.25,27,25
2014-10-06,29.18,5097.13,313.92,27,86
2015-03-27,10.74,393.24,49.53,28,172
2015-10-18,9.02,3499.31,115.77,28,205
2015-11-12,10.87,411.38,56.77,28,25
2016-08-14,29.08,6100.89,273.38,29,276
2016-09-11,33.94,7701.57,332.08,29,28
2016-11-24,7.77,168.32,42,29,74
2017-02-05,7.09,1994.19,84.12,30,73
2017-02-25,7.46,624.32,40.4,30,20
2017-03-15,4.83,11.24,21.03,30,18
2017-03-17,10.4,148.89,51.27,30,2
2017-04-11,8.22,193.79,38.58,30,25
2017-04-23,2.25,76.29,10.48,30,12
2017-04-23,4.82,12.93,25.22,30,0
2017-05-25,6.37,30.42,34.8,30,32
2017-07-15,43.78,7715.11,392.83,30,51
2017-07-22,11.19,474.33,66.83,30,7
2017-11-19,12.07,3280.95,146.78,30,120
2017-12-01,9.66,50.04,51.02,30,12
2017-12-08,6.16,38.59,32.83,30,7
2017-12-10,5.07,209.67,22.92,30,2
2017-12-15,11.34,64.13,56.57,30,5
2018-01-28,24.07,2528.84,253.05,31,44
2018-02-10,14.77,4022.24,168.18,31,13
2018-02-19,9.86,3346.16,137.55,31,9
2018-02-22,8.21,183.75,39.22,31,3
2018-04-14,12.32,4272.71,144.65,31,51
2018-07-12,8.89,206.57,42.68,31,89
2018-08-09,7.68,150.66,37.5,31,28
2018-09-15,15.29,4380.88,135.7,31,37
2018-10-27,26.08,4058.82,194.33,31,42
2018-11-03,7.01,449.37,47.47,31,7
2018-11-18,9.19,3335.17,114.68,31,15
2018-11-24,9.69,29.1,59.63,31,6
2019-02-02,2.93,162.79,13.7,32,70
2019-02-02,5.16,18.56,22.7,32,0
2019-02-07,6.53,47.32,31.23,32,5
2019-02-09,12.65,4213.05,135.37,32,2
2019-02-14,3.83,119.04,21.43,32,5
2019-02-17,10.37,1612.77,97.15,32,3
2019-02-23,9.8,871.79,70.97,32,6
2019-03-31,3.68,40.52,22,32,36
2019-04-06,10.53,1114.48,66.27,32,6
2019-04-09,8.17,158.09,39.6,32,3
2019-04-13,17.9,1886.95,116.23,32,4
2019-04-13,19.68,5515.4,209.7,32,0
2019-04-19,21.67,628.2,114.57,32,6
2019-04-25,9.39,25.55,56.43,32,6
2019-04-27,33.54,3377.37,230.2,32,2
2019-05-12,9.49,939.19,59.55,32,15
