Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2017-01-05,5.11,106.74,34.9,52,0
2017-01-07,8.53,312.7,66.83,52,2
2017-01-07,5.4,205.05,35.98,52,0
2017-01-08,9.18,305.62,66.58,52,1
2017-01-14,10.82,328.81,78.62,52,6
2017-01-17,6.32,453.04,45.77,52,3
2017-01-18,8.6,396.15,57.22,52,1
2017-01-21,8.74,197.01,72.47,52,3
2017-01-21,3.66,63.47,23.42,52,0
2017-01-24,8.06,1228.56,57.45,52,3
2017-01-28,15,524.52,114.02,52,4
2017-01-28,2.08,0,21.23,52,0
2017-01-29,9.82,105.17,65.08,52,1
2017-01-31,6.16,426.94,43.15,52,2
2017-02-02,10.4,58.84,69.08,52,2
2017-02-05,10.48,386.5,70.2,52,3
2017-02-08,4.05,0,29.3,52,3
2017-02-12,15.01,517.08,102.43,52,4
2017-02-18,13.23,344.4,81.43,52,6
2017-02-19,10.28,371.7,71.3,52,1
2017-02-23,9.11,257.58,54.53,52,4
2017-02-25,9.17,255.81,54.52,52,2
2017-02-26,12.94,290.3,87.38,52,1
2017-03-02,11.95,430.92,75.65,52,4
2017-03-04,6.01,221.53,45.92,52,2
2017-03-05,15.21,504.97,107.17,52,1
2017-03-16,7.53,331.12,54.03,52,11
2017-03-26,7.04,61.6,54.58,52,10
2017-04-02,10.93,445.91,74.45,52,7
2017-04-04,12.22,2057.75,89.43,52,2
2017-04-06,9.77,262.06,61.38,52,2
2017-04-07,8.5,338.88,59.83,52,1
2017-04-09,11.84,370.46,77.67,52,2
2017-04-11,10.6,792.32,71.48,52,2
2017-04-13,11.35,357.19,67.77,52,2
2017-04-14,18.66,207.19,134.1,52,1
2017-04-16,11.03,327.26,72.43,52,2
2017-04-17,19.02,393.05,137.62,52,1
2017-04-22,11.29,281.08,68.38,52,5
2017-04-23,8.95,152.82,86.67,52,1
2017-04-27,11.96,330.31,66.67,52,4
2017-04-29,16.27,587.41,110.12,52,2
2017-04-30,12.76,426.96,90.28,52,1
