Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2013-01-20,21.08,4400,112.08,36,0
2013-02-15,4.99,23,27.52,36,26
2013-02-17,8.45,221,47.15,36,2
2013-02-18,5.01,24,27.17,36,1
2013-03-13,3.49,16,21.53,36,23
2013-03-14,3.6,17,21.15,36,1
2013-03-15,6.52,31,37.7,36,1
2013-03-17,15.1,570,84.67,36,2
2013-04-05,3.56,16,26.45,36,19
2013-04-06,8.53,865,63.47,36,1
2013-04-09,4.99,19,26.68,36,3
2013-04-11,4.99,16,26.42,36,2
2013-04-12,4.99,24,26.42,36,1
2013-04-15,4.99,15,26.3,36,3
2013-04-16,4.99,16,25.35,36,1
2013-04-18,5.01,11,26.1,36,2
2013-04-21,4.99,27,25.8,36,3
2013-04-22,4.99,4,24.72,36,1
2013-04-24,4.26,13,19.83,36,2
2013-04-28,9.98,36,54.65,36,4
2013-05-01,8.63,826,57.82,36,3
2013-05-04,9.93,200,53.83,36,3
2013-05-11,9.98,49,55.5,36,7
2013-05-12,9.98,17,54.65,36,1
2013-05-15,6.97,888,49.9,36,3
2013-05-17,5.92,125,32.52,36,2
2013-05-19,5.87,120,31.5,36,2
2013-05-20,4.99,27,25.83,36,1
2013-05-25,9.74,798,76.3,36,5
2013-05-29,9.95,1001,60.07,36,4
2013-06-02,4.99,24,29.97,36,4
2013-06-03,4.99,27,27.2,36,1
2013-06-05,4.99,27,26.1,36,2
2013-06-07,9.98,33,53.82,36,2
2013-06-09,9.98,22,50.85,36,2
2013-06-10,4.99,27,23.9,36,1
2013-06-12,7.63,959,42.02,36,2
2013-06-14,4.99,11,23.62,36,2
2013-06-16,4.99,7,25.23,36,2
2013-06-17,4.99,28,24.73,36,1
2013-06-19,9.98,20,49.08,36,2
2013-06-22,21.85,786,110.43,36,3
2013-06-26,5.84,576,37.28,36,4
2013-06-28,4.99,10,25.27,36,2
2013-07-04,4.99,290,26.08,36,6
2013-07-06,9.99,16,46.92,36,2
2013-07-10,4.99,25,24.45,36,4
2013-07-12,9.98,21,51.57,36,2
2013-07-16,9.33,389,59.83,36,4
2013-07-18,9.98,12,50.43,36,2
2013-07-30,9.14,357,50,36,12
2013-08-01,4.84,71,22.3,36,2
2013-08-04,9.98,14,49.58,36,3
2013-08-06,9.98,35,52.33,36,2
2013-08-13,14.97,46,81.93,36,7
2013-08-15,4.94,125,23.6,36,2
2013-08-17,9.98,125,50.77,36,2
2013-08-17,9.98,24,51.05,36,0
2013-08-20,9.98,31,54.13,36,3
2013-08-23,12.36,99,58,36,3
2013-08-24,12.42,251,61.17,36,1
