Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2016-10-10,4.85,51.27,27.7,30,0
2016-10-12,7.23,153.19,55.28,30,2
2016-10-13,7.2,400.63,59.42,30,1
2016-10-15,9.72,95.41,65.95,30,2
2016-10-16,12.7,123.39,77.27,30,1
2016-10-17,9.15,111.65,54.35,30,1
2016-10-18,3.58,44.85,20.75,30,1
2016-10-21,8.42,74.08,48.3,30,3
2016-10-24,9.5,75.22,53.68,30,3
2016-10-25,3.04,98.39,18.47,30,1
2016-10-27,8.38,69.12,46.58,30,2
2016-10-28,13.08,114.32,73,30,1
2016-10-29,10.69,102.38,64.12,30,1
2016-10-29,15.36,350.83,93.43,30,0
2016-10-30,4.05,0,22.98,30,1
2016-11-01,8.29,62.44,49.02,30,2
2016-11-02,12.92,78.58,73.48,30,1
2016-11-04,16.3,329.1,91.72,30,2
2016-11-05,11.6,111.42,68.12,30,1
2016-11-06,7.61,140.46,43.55,30,1
2016-11-07,6.19,91.35,35.7,30,1
2016-11-09,16.11,326.71,91.13,30,2
2016-11-10,1.71,0,10.9,30,1
2016-11-10,11.56,130.43,68.13,30,0
2016-11-12,10.92,105.29,65.78,30,2
2016-11-12,9.68,101.33,59.12,30,0
2016-11-13,8.11,106.65,46.1,30,1
2016-11-16,16.13,255.32,92.98,30,3
2016-11-17,10.01,117.55,54.77,30,1
2016-11-18,6.64,148.2,36.43,30,1
2016-11-18,7.1,102.76,41.1,30,0
2016-11-18,2.2,0,13.58,30,0
2016-11-18,11.35,85.63,64.07,30,0
2016-11-20,11.27,209.25,65.28,30,2
2016-11-23,9.72,76.92,57.38,30,3
2016-11-24,14.67,350.87,103.28,30,1
2016-12-16,5.12,0,33.13,30,22
2016-12-17,5.44,48.64,33.28,30,1
2016-12-18,6.95,83.39,42.8,30,1
2016-12-20,8.14,86.18,50.43,30,2
2016-12-21,8.06,53.09,50.4,30,1
2016-12-24,9.67,92.7,59.38,30,3
2017-01-04,5.08,33.1,30.6,31,11
2017-01-10,5,0,29.45,31,6
2017-02-07,4.32,33.17,27.18,31,28
2017-02-09,4.09,190.39,25.93,31,2
2017-02-11,8.45,81.01,51.6,31,2
2017-02-14,3.26,41.61,19.6,31,3
2017-02-16,4.99,0,30.03,31,2
2017-02-18,12.89,68.29,74.52,31,2
2017-02-20,8.78,199.49,49.88,31,2
2017-02-23,4.99,33.16,28.07,31,3
2017-02-28,9.75,91.44,54.18,31,5
2017-03-02,9.66,84.9,51.38,31,2
2017-03-05,14.53,121.95,81.27,31,3
2017-03-08,13.02,180.01,72.78,31,3
2017-03-08,1.62,33.79,10.12,31,0
2017-03-09,5.11,0,27.12,31,1
2017-03-11,10.02,84.67,55.47,31,2
2017-03-15,8.23,88.67,44.33,31,4
2017-03-16,3.26,42.19,17.53,31,1
2017-03-17,12.98,121.83,71.7,31,1
2017-03-17,2.23,42.38,13.17,31,0
2017-03-18,16.28,275.05,91.62,31,1
2017-03-24,13.97,83.23,77.98,31,6
2017-03-24,1.82,41.15,11.25,31,0
2017-03-24,9.84,82.25,58.27,31,0
2017-03-25,8.87,82.83,51.68,31,1
2017-03-27,16.21,216.96,93,31,2
2017-03-29,24.18,274.26,141.25,31,2
2017-03-30,16.13,68.24,112.67,31,1
2017-04-01,26.74,661.49,161.12,31,2
2017-04-05,24.35,326.36,145.1,31,4
2017-04-05,7.25,92.26,54.27,31,0
