Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2011-12-27,5.26,107.71,24.68,27,0
2011-12-28,11.28,0,54.55,27,1
2011-12-28,8.05,0,40.77,27,0
2011-12-29,9.7,0,54.62,27,1
2011-12-30,9.67,0,48.38,27,1
2012-01-09,4.83,0,23.1,28,10
2012-01-11,4.84,0,24.65,28,2
2012-01-12,6.45,0,30.82,28,1
2012-01-13,8.11,238.1,42.13,28,1
2012-01-13,7.18,724.11,91.05,28,0
2012-01-16,8.16,169.38,43.47,28,3
2012-01-18,6.03,2698.18,48.62,28,2
2012-01-19,6.15,2484.01,48.98,28,1
2012-01-19,11.94,509.22,67.87,28,0
2012-01-21,6.45,97.89,29.63,28,2
2012-01-23,9.84,365.38,52.82,28,2
2012-01-23,9.38,0,47.45,28,0
2012-01-24,9.01,3413.75,76.7,28,1
2012-01-24,11.11,3209.15,95.2,28,0
2012-02-01,6.45,0,35.17,28,8
2012-02-01,3.22,0,18.15,28,0
2012-02-04,6.45,0,38.05,28,3
2012-02-04,4.84,0,25.45,28,0
2012-02-05,6.45,0,33.92,28,1
2012-02-05,2.37,35.34,24.65,28,0
2012-02-05,11.53,4212.17,168.67,28,0
2012-02-07,6.45,0,42.73,28,2
2012-02-08,9.67,0,57.68,28,1
2012-02-09,4.84,0,24.72,28,1
2012-02-11,8.06,0,44.52,28,2
2012-02-11,12.9,0,75.23,28,0
2012-02-12,3.23,0,21.62,28,1
2012-02-13,11.3,0,58.88,28,1
2012-02-14,13.06,0,55.18,28,1
2012-02-16,11.52,227.65,57.43,28,2
2012-02-17,16.12,163.16,75.9,28,1
2012-02-18,16.16,563.67,91.77,28,1
2012-02-25,3.45,0,15.53,28,7
2012-02-25,6.45,0,33.87,28,0
2012-02-29,9.69,0,46.72,28,4
2012-03-02,6.45,0,32.05,28,2
2012-03-03,8.08,0,36.92,28,1
2012-03-04,4.84,0,25.98,28,1
2012-03-05,9.67,0,47.7,28,1
2012-03-06,11.28,0,52.23,28,1
2012-03-08,10.04,0,53.22,28,2
2012-03-10,8.61,49.24,77.92,28,2
2012-03-13,5.44,0,28.93,28,3
2012-03-13,10.06,144.78,47.55,28,0
2012-03-16,8.56,226.67,39.07,28,3
2012-03-16,4.84,0,25.03,28,0
2012-03-16,8.07,0,31.23,28,0
2012-03-19,12.08,174.61,55.73,28,3
2012-03-20,11.3,326.53,55.48,28,1
2012-03-21,8.28,41.5,35.38,28,1
2012-03-22,6.48,0,35.52,28,1
2012-03-23,9.73,0,51.67,28,1
2012-03-24,9.67,0,56.45,28,1
2012-03-25,13.33,241.39,68.13,28,1
2012-03-31,50.1,1969.49,353.48,28,6
2012-04-06,6.54,0,30.8,28,6
2012-04-10,6.72,141.9,35.23,28,4
2012-04-12,6.75,139.34,33.97,28,2
2012-04-13,6.71,138.03,33,28,1
2012-04-14,11.91,177.79,61.58,28,1
2012-04-15,3.23,0,14.03,28,1
2012-04-17,5.7,101.66,28.37,28,2
2012-04-18,8.11,141.82,39.78,28,1
2012-04-20,3.46,0,18.42,28,2
2012-04-21,9.73,304.8,49.08,28,1
2012-04-23,8.08,125.33,42.2,28,2
2012-04-25,4.12,65.76,21.07,28,2
2012-04-25,8.99,141.41,42.68,28,0
2012-04-26,3.52,0,17.07,28,1
2012-04-27,5.65,65.94,27.15,28,1
2012-04-28,8.29,180.31,37.17,28,1
2012-04-29,3.51,0,17.3,28,1
2012-04-30,4.4,65.56,22.63,28,1
2012-04-30,6.89,140.52,30.92,28,0
2012-05-01,5.01,66.15,25.18,28,1
2012-05-01,10.06,176.7,47,28,0
2012-05-03,5.68,65.97,28.2,28,2
2012-05-03,8.09,108.85,39,28,0
2012-05-04,5.55,65.68,27.58,28,1
2012-05-05,12.1,175.75,63.08,28,1
2012-05-07,3.24,57.56,16.75,28,2
2012-05-07,6.46,169.76,33.08,28,0
2012-05-09,3.28,0,17.22,28,2
2012-05-12,41.78,6198.62,394.52,28,3
2012-05-16,6.56,124.94,33.53,28,4
2012-05-17,6.51,127.21,31.88,28,1
2012-05-21,8.13,176.17,38.08,28,4
2012-05-23,6.52,128.14,31.33,28,2
2012-05-24,6.5,127.36,33.5,28,1
2012-05-27,47.87,2273.92,293.85,28,3
2012-05-30,6.57,128.06,33.45,28,3
2012-05-31,6.49,127.9,32.85,28,1
2012-06-01,6.55,126.72,33.6,28,1
2012-06-05,16.31,439.5,78.78,28,4
2012-06-08,8.06,223.04,38.45,28,3
2012-06-10,9.93,399.31,55.13,28,2
2012-06-13,8.2,176.84,40.92,28,3
2012-06-15,8.23,211.65,38.6,28,2
2012-06-18,9.68,317.14,45.2,28,3
2012-06-19,6.54,127.26,34.05,28,1
2012-06-20,9.7,333.46,50.2,28,1
2012-06-22,10.2,151.99,46.2,28,2
2012-06-23,9.84,123.25,52.57,28,1
2012-06-24,2.86,1760.93,70.6,28,1
2012-06-24,5.27,238.88,37.18,28,0
2012-06-28,3.73,0,19.72,28,4
2012-07-02,9.84,340.18,48.28,28,4
2012-07-03,9.84,354.32,47.93,28,1
2012-07-05,9.71,337.14,51.12,28,2
2012-07-05,9.76,234.62,49.3,28,0
2012-07-06,9.72,201.93,47.73,28,1
2012-07-07,5.5,541.36,36.4,28,1
2012-07-09,12.88,284.64,63.75,28,2
2012-07-10,11.38,226.17,53.08,28,1
2012-07-11,9.72,201.59,50.13,28,1
2012-07-12,9.82,119.21,49.87,28,1
2012-07-13,9.71,152.98,50.38,28,1
2012-07-14,6.98,1972.87,59.48,28,1
2012-07-15,12.88,4212.83,167.62,28,1
2012-07-18,9.87,150.73,50.8,28,3
2012-07-19,9.7,282.9,42.18,28,1
2012-07-20,10.36,650.51,59.02,28,1
2012-07-21,6.67,367.95,31.88,28,1
2012-07-24,3.36,0,13.6,28,3
2012-07-24,2.96,0,11.97,28,0
2012-08-03,9.68,201.07,49.35,28,10
2012-08-04,6.48,183.95,32.77,28,1
2012-08-08,12.92,265.2,67.07,28,4
2012-08-09,9.7,149.37,51.48,28,1
2012-08-13,16.2,529.58,80.37,28,4
2012-08-14,9.67,302.56,49.7,28,1
2012-08-15,16.12,340.51,82.33,28,1
2012-08-16,6.45,74.15,35.38,28,1
2012-08-22,9.85,168.96,49.38,28,6
2012-08-23,9.66,116.19,48.85,28,1
2012-08-24,9.66,317.12,46.02,28,1
2012-08-27,9.82,302.27,48.23,28,3
2012-08-30,10.36,172.72,50.78,28,3
2012-09-01,9.66,122.88,49.82,28,2
2012-09-03,14.62,794.63,79.72,28,2
2012-09-04,6.62,0,32.95,28,1
2012-09-04,6.45,0,30.48,28,0
2012-09-05,9.69,1521.31,71.42,28,1
2012-09-11,9.68,303.6,49.22,28,6
2012-09-12,11.45,369.69,60.05,28,1
2012-09-14,11.48,304.92,61.27,28,2
2012-09-15,15.08,304.77,81.5,28,1
2012-09-19,3.4,0,17.72,28,4
2012-09-19,6.47,127.57,33.45,28,0
2012-09-20,4.92,35.38,25.77,28,1
2012-09-20,11.31,229.81,60.05,28,0
2012-09-21,11.38,306.76,58.7,28,1
2012-09-21,3.29,0,17.72,28,0
2012-09-22,8.18,179.9,41.47,28,1
2012-09-22,10.18,149.19,52.05,28,0
2012-09-24,6.46,87.93,32.32,28,2
2012-09-25,9.74,335.85,48.9,28,1
2012-09-26,9.76,210.67,48.93,28,1
2012-09-29,21.09,158.53,103.62,28,3
2012-10-01,11.27,229.8,59.15,28,2
2012-10-02,8.06,177.56,39.95,28,1
2012-10-02,6.51,35.29,33.48,28,0
2012-10-03,6.46,0,31.68,28,1
2012-10-04,6.46,45.89,32.52,28,1
2012-10-04,9.77,303.82,49.72,28,0
2012-10-06,11.33,670.3,55.5,28,2
2012-10-07,8.16,410.75,41.7,28,1
2012-10-07,12.89,384.09,65.25,28,0
2012-10-14,24.67,454.38,132.28,28,7
2012-10-17,9.74,302.86,50.2,28,3
2012-10-18,9.83,340.61,50.25,28,1
2012-10-20,22.72,775.51,124.45,28,2
2012-10-25,6.56,165.77,34.95,28,5
2012-10-27,48.16,769.41,280.6,28,2
2012-10-31,6.48,0,28.23,28,4
2012-11-02,1.62,0,7.53,28,2
2012-11-05,9.68,314.43,50.07,28,3
2012-11-06,8.16,175.35,41.92,28,1
2012-11-08,6.45,0,32.93,28,2
2012-11-09,8.06,0,38,28,1
2012-11-10,4.87,0,22.57,28,1
2012-11-11,8.64,1975.1,99.53,28,1
2012-11-13,8.06,0,34.58,28,2
2012-11-18,8.65,1994.23,90.63,28,5
2012-11-20,8.08,0,43.67,28,2
2012-11-21,7.58,0,39.03,28,1
2012-11-23,11.29,665.71,57.88,28,2
2012-12-01,39.67,3074.52,329.08,28,8
2012-12-12,9.69,346.25,49.67,28,11
2012-12-19,12.93,317.96,65.88,28,7
2012-12-20,9.7,316.15,49.42,28,1
2012-12-22,16.11,4764.76,321.87,28,2
2012-12-24,9.68,0,47.05,28,2
2012-12-27,1.63,0,8.08,28,3
2012-12-27,3.98,0,21.05,28,0
2012-12-28,4.97,119.18,26.93,28,1
2012-12-30,19.35,966.8,103.12,28,2
2012-12-31,10.67,600.77,51.2,28,1
2013-01-01,16.32,743.06,93.53,29,1
2013-01-04,6.58,426.98,36.28,29,3
2013-01-06,14.49,713.01,81.28,29,2
2013-01-07,11.27,571.34,67.62,29,1
2013-01-10,8.07,73.88,40.83,29,3
2013-01-10,8.09,0,42.32,29,0
2013-01-12,4.88,1045.06,43.02,29,2
2013-01-15,6.43,67.37,39.42,29,3
2013-01-17,6.56,1713.09,63.77,29,2
2013-01-19,28.65,6065.12,278.72,29,2
2013-01-25,8.05,35.44,43.02,29,6
2013-01-25,9.67,413.8,46.85,29,0
2013-01-27,9.68,67.1,50.17,29,2
2013-01-28,9.67,69.54,55.72,29,1
2013-01-29,1.84,107.65,18.57,29,1
2013-01-30,9.67,69.7,60.18,29,1
2013-01-31,8.05,71.13,49.1,29,1
2013-01-31,3.65,0,15.02,29,0
2013-02-01,8.1,108.31,49.25,29,1
