Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2010-01-02,11.11,382.61,62.57,41,0
2010-01-05,6.55,211.45,35.4,41,3
2010-01-13,11.45,368.57,54.35,41,8
2010-01-15,6.51,204.23,32.75,41,2
2010-01-17,16.74,93.26,83.83,41,2
2010-01-23,30.17,1466.2,147.98,41,6
2010-01-25,2.92,197.12,16.58,41,2
2010-01-27,11.24,569.91,63.27,41,2
2010-01-28,11.43,375.52,59.02,41,1
2010-01-30,11.59,632.72,60.78,41,2
2010-02-03,12.87,463.65,65.18,41,4
2010-02-05,7.82,260.96,38.63,41,2
2010-02-06,8.32,403.73,43.15,41,1
2010-02-07,6.59,210.15,33.25,41,1
2010-02-09,11.64,604.79,59.33,41,2
2010-02-10,11.35,328.38,58.73,41,1
2010-02-10,11.63,616.28,57.6,41,0
2010-02-11,11.4,371.78,53.52,41,1
2010-02-18,11.82,252.02,57.02,41,7
2010-02-20,9.57,229.02,58.42,41,2
2010-02-22,6.62,547.55,38.58,41,2
2010-02-24,6.55,211.14,31.07,41,2
2010-02-25,8.98,207.95,44.37,41,1
2010-02-27,12.64,244.67,59.67,41,2
2010-02-28,24.85,344.06,124,41,1
2010-03-02,11.64,608.8,61.37,41,2
2010-03-03,11.59,648.98,62.53,41,1
2010-03-04,3.74,0,17.78,41,1
2010-03-05,10.83,311.76,54.17,41,1
2010-03-08,16.91,209.01,85.22,41,3
2010-03-09,11.68,578.33,59.87,41,1
2010-03-11,4.09,0,19.67,41,2
2010-03-13,11.58,660.77,58.88,41,2
2010-03-14,29.42,380.33,145.72,41,1
2010-03-17,11.56,670.19,62.77,41,3
2010-03-18,5.86,258.85,31.7,41,1
2010-03-19,3.35,200.2,17.57,41,1
2010-03-21,20.98,563.02,90.17,41,2
2010-03-24,12.26,529.26,62.25,41,3
2010-03-25,6.22,251.12,34.32,41,1
2010-03-28,42.43,1365.78,237.97,41,3
2010-03-31,4.34,194.98,26.03,41,3
2010-04-01,5.16,230.25,30.48,41,1
2010-04-02,11.48,368.21,55.88,41,1
2010-04-02,12.15,629.98,62.58,41,0
2010-04-04,11.04,49.22,53.62,41,2
2010-04-06,11.32,367.8,53,41,2
2010-04-07,8.04,452.62,43.4,41,1
2010-04-08,11.41,373.58,52.28,41,1
2010-04-11,6.44,339.6,28.02,41,3
2010-04-12,11.41,379.62,61.18,41,1
2010-04-14,4.79,204.6,25.2,41,2
2010-04-16,2.92,189.04,15.85,41,2
2010-04-19,42.33,610.63,190.87,41,3
2010-04-21,6.58,235.34,35.3,41,2
2010-04-22,11.31,374.41,59.75,41,1
2010-04-23,5.6,351.71,30.75,41,1
