Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2015-07-10,10.07,2821.15,161.17,28,0
2015-11-15,17.5,3117.1,234.47,28,128
2015-12-01,2.13,0,12.25,28,16
2015-12-03,2.9,0,16.53,28,2
2015-12-05,3.79,54.54,22.33,28,2
2015-12-08,3.43,54.86,21.12,28,3
2015-12-08,3.54,34.41,20.9,28,0
2015-12-12,4.02,49.89,21.52,28,4
2015-12-14,3.31,0,19,28,2
2015-12-21,4.45,48.02,26.57,28,7
2015-12-23,5.54,34.59,30.52,28,2
2015-12-25,3.53,33.04,19.18,28,2
2015-12-29,4.94,0,30.5,28,4
2015-12-30,3.4,0,19.55,28,1
2016-01-01,4.95,34.45,28.63,29,2
2016-01-03,2.54,72.08,16.23,29,2
2016-01-05,4.39,159.09,28.28,29,2
2016-01-06,5.26,34.84,29.92,29,1
2016-01-07,5.03,34.66,29.02,29,1
2016-01-10,7.39,104.76,44.92,29,3
2016-01-12,5.27,33.3,30.68,29,2
2016-01-13,4.6,35.73,29.48,29,1
2016-01-14,5.54,35.64,31.58,29,1
2016-01-19,4.57,34.08,22.85,29,5
2016-01-20,6.11,33.77,33.13,29,1
2016-01-21,4.12,36.82,22.68,29,1
2016-01-23,13.07,219.45,68.85,29,2
2016-01-26,8.32,89.76,49.37,29,3
2016-01-28,5.04,33.33,29.2,29,2
2016-02-09,5.12,50.87,31.27,29,12
2016-02-10,5.03,33.24,29.28,29,1
2016-02-17,7.8,102.6,49.42,29,7
2016-02-19,1.64,0,9.37,29,2
2016-02-20,19.54,423.63,108.45,29,1
2016-02-25,4.7,96.54,30.02,29,5
2016-02-26,8.94,129.45,46.27,29,1
2016-02-26,7.79,1638.38,50.32,29,0
2016-02-28,18.85,1909.21,118.6,29,2
2016-03-02,1.67,65.92,9.43,29,3
2016-03-04,6.84,81.94,35.72,29,2
2016-03-04,7.85,1555.16,54.92,29,0
2016-03-06,9.48,228,51.83,29,2
2016-03-09,6.12,0,32.1,29,3
2016-03-10,5.23,39.68,27.47,29,1
2016-03-13,10.31,0,50.68,29,3
2016-03-17,4.29,38.13,22.32,29,4
2016-03-17,4.71,0,22.03,29,0
2016-03-24,7.62,49.64,45.68,29,7
2016-03-26,32.63,5878.97,179.52,29,2
2016-03-29,7.99,99.96,47.13,29,3
2016-03-30,6.14,34.27,32.58,29,1
2016-03-31,8.31,99.04,49.4,29,1
2016-04-02,28.44,2414.44,190.23,29,2
2016-04-06,5.52,412.08,28.73,29,4
2016-04-09,24.09,195.14,132.8,29,3
2016-04-12,9.54,91.42,53.77,29,3
2016-04-13,8.57,742.45,50.32,29,1
2016-04-15,9.54,89.48,52.15,29,2
2016-04-16,9.63,113.76,51.62,29,1
2016-04-17,23.32,2624.74,126.47,29,1
2016-04-20,6.77,72.58,42.35,29,3
2016-04-23,23.37,332.7,138.32,29,3
2016-04-26,7.23,0,47.9,29,3
2016-04-27,9.76,90.09,55.13,29,1
2016-04-28,9.43,91.25,53.62,29,1
2016-05-01,22.58,808.67,103.87,29,3
2016-05-03,6.17,35.98,39.38,29,2
2016-05-06,4.97,49.73,31.47,29,3
2016-05-08,15.66,1627.79,100.23,29,2
2016-05-11,9.54,91.5,53.47,29,3
2016-05-12,8.27,111.67,47.45,29,1
2016-05-15,28.67,349.85,169.43,29,3
2016-05-17,6.43,86.64,38.25,29,2
2016-05-21,15.02,82.07,88.95,29,4
2016-05-26,6.29,35.96,36.63,29,5
2016-06-02,6.19,0,34.52,29,7
2016-06-07,6.31,93.08,37.03,29,5
2016-06-08,7.38,100.89,41.63,29,1
2016-06-12,3.1,0,20.13,29,4
2016-06-14,14.02,193.95,78.27,29,2
2016-06-16,9.94,134.36,56.35,29,2
2016-06-22,10.37,150.14,59.42,29,6
2016-07-04,6.63,91.45,39.58,29,12
2016-07-07,9.97,136.16,57.97,29,3
2016-07-10,12.27,197.82,73.35,29,3
2016-07-21,6.16,96.29,36.32,29,11
2016-07-23,2.68,815.2,13.07,29,2
2016-07-23,4.38,469.84,38.23,29,0
2016-08-03,6.16,67.77,34.33,29,11
2016-08-04,6.14,34.47,34.93,29,1
2016-08-06,13.69,269.67,73.55,29,2
2016-08-09,6.18,33.8,34.43,29,3
2016-08-10,6.97,67.64,37.98,29,1
2016-08-12,12.47,1243.55,60.5,29,2
2016-08-16,8.05,137.48,44.37,29,4
2016-08-16,6.22,34.6,39.23,29,0
2016-08-17,8.14,136.19,46.78,29,1
2016-08-19,23.94,379.27,151.43,29,2
2016-08-23,8.16,137.49,48.17,29,4
2016-08-24,6.38,34.51,37.55,29,1
2016-08-27,27.43,3911.02,168.48,29,3
2016-08-29,6.28,120.38,35.6,29,2
2016-08-30,3.02,44.99,16.33,29,1
2016-08-31,2.79,110.58,16.03,29,1
2016-09-01,23.04,346.61,131.5,29,1
2016-09-03,4.99,43.03,25.87,29,2
2016-09-05,8.22,192.17,43.92,29,2
2016-09-06,2.02,42.58,12.98,29,1
2016-09-07,3.16,0,17.58,29,1
2016-09-08,1.68,37.55,10.25,29,1
2016-09-11,5,97.87,30.72,29,3
2016-09-13,4.49,51.75,25.45,29,2
2016-09-17,60.88,8979.33,315.02,29,4
2016-09-22,4.76,98.7,28.03,29,5
2016-09-23,6.01,100.93,30.95,29,1
2016-09-26,3.26,0,17.92,29,3
2016-10-01,13.8,792.65,85.12,29,5
2016-10-04,1.84,0,13.38,29,3
2016-10-04,1.77,47.76,10.95,29,0
2016-10-09,23.15,268.2,120.65,29,5
2016-10-15,5.97,85.38,33.43,29,6
2016-10-20,4.95,180,25.27,29,5
2016-10-21,4.71,144.9,22.8,29,1
2016-10-23,4.63,147.56,23.72,29,2
2016-10-24,11.63,2015.8,49.82,29,1
2016-10-26,5.36,153.15,26.92,29,2
2016-10-27,4.98,105.19,26.68,29,1
2016-10-28,5.75,154.72,29.22,29,1
2016-10-30,4.98,150.81,27.6,29,2
2016-10-31,29.12,4098.46,125.35,29,1
2016-11-01,6.37,210.28,40,29,1
2016-11-03,6.54,210.73,38.62,29,2
2016-11-04,5.22,137.77,29.1,29,1
2016-11-06,36.65,4922.11,165.52,29,2
2016-11-07,4.89,151.35,28.9,29,1
2016-11-09,7.16,251.45,40.45,29,2
2016-11-10,8.25,189.81,42.38,29,1
2016-11-21,25.72,527.35,156.55,29,11
2016-11-21,5.6,154.19,31.35,29,0
2016-11-24,10.98,272.65,58.95,29,3
2016-11-26,8.5,202.93,43.6,29,2
2016-11-27,18.63,1824.06,139.2,29,1
