Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2012-06-24,9.23,1323,51.1,44,0
2012-06-28,7.71,198.4,31.6,44,4
2012-06-30,9.4,1708.42,55.62,44,2
2012-06-30,11.83,904.51,65.42,44,0
2012-07-02,4.79,0,22.9,44,2
2012-07-03,8.97,83.8,37.35,44,1
2012-07-04,12.53,279.49,47.02,44,1
2012-07-05,3.03,1619.96,25.97,44,1
2012-07-05,3.21,417.95,16.37,44,0
2012-07-05,2.97,0,15.37,44,0
2012-07-07,6.28,2360.98,52.13,44,2
2012-07-07,5.94,309.96,36.78,44,0
2012-07-08,9.23,170.45,35.85,44,1
2012-07-09,5.54,278.63,23.97,44,1
2012-07-10,8.15,36.42,33.05,44,1
2012-07-14,22.65,3109.08,149.37,44,4
2012-07-16,9.62,35.73,38.42,44,2
2012-07-17,9.54,230.61,39.98,44,1
2012-07-18,18.87,637.79,72.98,44,1
2012-07-21,12.02,1326.79,63.38,44,3
2012-07-25,6.93,151.7,30.3,44,4
2012-07-29,21.35,874.46,119.9,44,4
2012-08-01,5.11,107.46,21.77,44,3
2012-08-03,5.8,0,38.02,44,2
2012-08-06,10.55,86.35,44.75,44,3
2012-08-08,2.1,0,8.18,44,2
2012-08-15,12.99,109.56,53.98,44,7
2012-08-15,4.09,93.2,18.63,44,0
2012-08-20,12.59,857.99,64.65,44,5
2012-08-21,12.46,88.57,50.33,44,1
2012-08-27,10.97,217.71,49.2,44,6
2012-08-28,10.97,0,44.62,44,1
2012-08-29,11.26,189.77,44.02,44,1
2012-08-30,6.36,121.31,28.48,44,1
2012-09-03,21.36,1962.83,108.33,44,4
2012-09-04,9.67,414.45,40.22,44,1
2012-09-06,7.74,234.82,31.23,44,2
2012-09-09,18.93,2011.46,88.23,44,3
2012-09-10,8.3,0,34.02,44,1
2012-09-12,10.26,36.85,41.12,44,2
2012-09-14,9.57,875.13,40.55,44,2
2012-09-14,9.78,887.56,40.55,44,0
2012-10-13,17.68,65.7,97.15,44,29
2012-11-12,23.3,3372.47,129.95,44,30
2012-11-17,15.04,1787.02,80.47,44,5
2012-11-18,8.91,156.59,35.05,44,1
2012-11-20,9.46,401.06,39.5,44,2
2012-11-22,11.88,1481.96,63.95,44,2
2012-11-24,10.05,159.98,38.88,44,2
2012-11-25,13.37,2456.19,70.8,44,1
2012-12-03,11.27,432.28,43.25,44,8
2012-12-08,19.39,126.04,94.13,44,5
2012-12-09,9.06,823.43,44.15,44,1
2012-12-13,20.23,400.06,97.05,44,4
2012-12-13,10.77,36.66,42.73,44,0
2012-12-20,8.23,34.51,33.62,44,7
2012-12-20,2.57,34.63,14.83,44,0
2012-12-20,3.3,110.47,14.35,44,0
2012-12-22,15.19,1573.05,107.35,44,2
2012-12-24,16.02,1393.58,69.15,44,2
2012-12-26,9.68,486.46,39.67,44,2
2012-12-27,9.83,82.2,39.68,44,1
2012-12-30,11.49,1339.14,57.07,44,3
2012-12-31,21.28,2599.92,108.47,44,1
2013-01-01,10.04,1426.48,53.55,45,1
2013-01-02,8.14,39.57,31.15,45,1
2013-01-04,9.32,39.99,37.75,45,2
2013-01-05,15.03,2605.12,92.9,45,1
2013-01-07,10.16,0,39,45,2
2013-01-10,13.58,71.19,63.87,45,3
2013-01-10,6.07,34.79,27.67,45,0
2013-01-10,3.19,0,15.03,45,0
2013-01-12,8.33,34.43,34.75,45,2
2013-01-13,18.54,1132.19,117.53,45,1
2013-01-15,9.73,402.21,43.62,45,2
2013-01-17,3.33,0,13.23,45,2
2013-01-17,4.9,37.99,27.43,45,0
2013-01-17,3.12,0,14.97,45,0
2013-01-17,5.02,0,17.98,45,0
2013-01-17,2.85,0,14.8,45,0
2013-01-19,16.17,336.09,68.27,45,2
2013-01-21,11.12,939.42,47.13,45,2
2013-01-24,16.81,506.76,63.57,45,3
2013-01-26,9.82,1414.76,48.43,45,2
2013-01-27,16.11,72.81,65.25,45,1
2013-01-28,9.76,0,41.08,45,1
2013-01-31,10.53,66.84,53.85,45,3
2013-01-31,7.25,35.92,28.85,45,0
2013-01-31,1.71,0,8.7,45,0
2013-02-03,14.82,869.41,56.08,45,3
2013-02-04,9.75,0,36.88,45,1
2013-02-07,3.11,0,15.87,45,3
2013-02-07,4.68,37.4,18.12,45,0
2013-02-07,11.95,35.55,55.75,45,0
2013-02-08,11.31,414.63,43.55,45,1
2013-02-09,32.2,429.14,145.63,45,1
2013-02-10,6.69,36.16,26.47,45,1
2013-02-14,3.37,0,17.38,45,4
2013-02-14,5.26,67.81,20.57,45,0
2013-02-14,10.28,33.63,52.03,45,0
2013-02-15,10.04,0,36.33,45,1
2013-02-16,8.23,187.33,32.8,45,1
2013-02-17,20.66,1475.25,88.87,45,1
2013-02-18,8.9,155.37,33.28,45,1
2013-02-19,10.98,35.05,45.53,45,1
2013-02-23,8.18,1021.28,41.77,45,4
2013-02-24,26.38,2724.93,174.3,45,1
2013-02-26,9.81,94.22,45.3,45,2
2013-02-28,6.99,326.19,26.18,45,2
2013-03-01,13.25,33.74,51.6,45,1
2013-03-03,12.9,73.25,49.77,45,2
2013-03-03,14.69,51.1,76.83,45,0
2013-03-03,8.37,32.84,31.95,45,0
2013-03-05,7.17,0,26.55,45,2
2013-03-07,5.52,36.89,20.02,45,2
2013-03-09,10.4,995.45,45.28,45,2
2013-03-10,15.07,1498.3,66.55,45,1
2013-03-11,6.42,0,27.73,45,1
2013-03-14,13.11,424.32,51.7,45,3
2013-03-17,15.14,553.9,54.77,45,3
2013-03-18,11.55,60.11,46.58,45,1
2013-03-23,21.06,2146.55,100.47,45,5
2013-04-02,9.83,409.02,37.17,45,10
2013-04-04,3.7,0,18.67,45,2
2013-04-04,6.85,34.67,25.17,45,0
2013-04-04,3.3,0,17.17,45,0
2013-04-05,8.08,0,30.37,45,1
2013-04-08,13.4,297.97,52.68,45,3
2013-04-09,2.96,43.31,12.93,45,1
2013-04-09,4.9,0,18.82,45,0
2013-04-14,5.67,59.73,30.17,45,5
2013-04-15,42.46,556.75,170.82,45,1
2013-04-25,8.12,0,31.27,45,10
2013-04-27,23.45,3216.77,120.98,45,2
2013-05-02,3.21,34.52,17.53,45,5
2013-05-02,3.23,63.06,16.8,45,0
2013-05-02,6.44,287.03,25,45,0
2013-05-04,10.01,0,38.28,45,2
2013-05-06,12.18,392.65,47.72,45,2
2013-05-07,10,241.15,49.68,45,1
2013-05-09,2.77,0,14.82,45,2
2013-05-09,3.16,0,16.63,45,0
2013-05-10,8.34,36.22,34.53,45,1
2013-05-11,5.06,101.31,17.9,45,1
2013-05-12,32.22,678.67,137.28,45,1
2013-05-13,8.06,0,34.13,45,1
2013-05-14,10.03,83.62,39.37,45,1
2013-05-16,3.31,0,16.95,45,2
2013-05-16,3.81,0,18.63,45,0
2013-05-16,6.48,35.43,24.4,45,0
2013-05-17,2.56,0,11.15,45,1
2013-05-18,12.94,47.39,48.47,45,1
2013-05-20,9.86,1355.45,50.07,45,2
2013-05-20,9.18,123.61,34.83,45,0
2013-05-23,3.01,0,13.48,45,3
2013-05-23,4.98,36.42,20.02,45,0
2013-05-23,5.31,0,27.37,45,0
2013-05-24,16.1,2091.24,81.77,45,1
2013-05-25,12.9,94.03,49.65,45,1
2013-05-27,15.98,2280.11,93.43,45,2
2013-05-28,8.66,37.01,35.43,45,1
2013-05-30,11.4,558.26,46.28,45,2
2013-05-30,7.3,66.85,27.82,45,0
2013-05-31,8.18,129.27,44.2,45,1
2013-06-02,16.45,2821.84,83.2,45,2
2013-06-03,5.9,88.41,23.3,45,1
2013-06-04,9.67,34.25,37.22,45,1
2013-06-06,9.84,917.54,67.33,45,2
2013-06-07,8.36,125,32.75,45,1
2013-06-09,20.85,651.13,89.47,45,2
2013-06-11,18.02,101.8,95.4,45,2
2013-06-13,3.46,0,17.28,45,2
2013-06-13,6.57,36.61,25.53,45,0
2013-06-13,6.95,0,31.13,45,0
2013-06-14,16.59,0,59.98,45,1
2013-06-18,20.12,692.97,87.45,45,4
2013-06-19,7.68,98.88,37.72,45,1
2013-06-21,20.11,678.54,82.48,45,2
2013-06-22,20.64,1706.68,84.77,45,1
2013-06-25,9.39,406.28,37.02,45,3
2013-06-27,12.65,333.67,51.55,45,2
2013-06-30,16.2,1514.48,72.8,45,3
2013-07-01,2.42,0,9.38,45,1
2013-07-01,2.55,0,10.52,45,0
2013-07-02,3.89,61.47,20.57,45,1
2013-07-03,2.46,34.32,11.67,45,1
2013-07-03,5.31,0,23.58,45,0
2013-07-04,3.41,0,24.78,45,1
2013-07-04,9.97,252.95,35.57,45,0
2013-07-06,10.14,1564.5,75.48,45,2
2013-07-07,24.32,4387.24,133.32,45,1
2013-07-10,2.94,0,11.3,45,3
2013-07-10,3.13,50.2,16.73,45,0
2013-07-10,1.9,51.97,10.93,45,0
2013-07-10,4.8,0,19.45,45,0
2013-07-11,2.9,0,16.08,45,1
2013-07-11,6.38,35.17,23.82,45,0
2013-07-11,3.32,0,17.05,45,0
2013-07-12,3,0,10.12,45,1
2013-07-12,1.69,0,5.43,45,0
2013-07-13,15.36,3640.16,116.3,45,1
2013-07-14,22.09,1448.23,126.1,45,1
2013-07-18,2.35,0,12.6,45,4
2013-07-18,5.82,0,29.65,45,0
2013-07-18,6.28,35.3,23.92,45,0
2013-07-19,1.64,0,5.08,45,1
2013-07-19,3.06,0,10.23,45,0
2013-07-20,14.3,107.48,67.58,45,1
2013-07-21,11.22,295.56,43.9,45,1
2013-07-22,9.58,0,38.52,45,1
2013-07-24,1.9,51.84,10.03,45,2
2013-07-24,4.79,0,20.92,45,0
2013-07-25,4.71,35.83,18.03,45,1
2013-07-25,5.1,0,24.1,45,0
2013-07-26,3.06,0,9.77,45,1
2013-07-26,1.63,0,4.97,45,0
2013-07-27,18.74,898.3,102.57,45,1
2013-07-28,16.61,1877.58,99.65,45,1
2013-07-29,5.02,101.31,18.97,45,1
2013-07-31,13.94,1495.88,70.42,45,2
2013-08-01,1.81,0,9.3,45,1
2013-08-01,5.46,38.85,19.75,45,0
2013-08-01,4.73,0,22.83,45,0
2013-08-02,2.76,42.13,9.52,45,1
2013-08-02,2.13,70.38,9.17,45,0
2013-08-02,4.88,88.01,17.28,45,0
2013-08-02,3.65,59.65,18.58,45,0
2013-08-02,1.76,52.17,8.17,45,0
2013-08-03,12.13,76.44,61.33,45,1
2013-08-07,9.05,373.1,36.05,45,4
2013-08-09,3.36,59.18,17.13,45,2
2013-08-09,4.92,90.42,17.07,45,0
2013-08-09,2.09,68.7,8.68,45,0
2013-08-09,2.92,79.4,10.02,45,0
2013-08-10,7.69,33.53,34.55,45,1
2013-08-11,10.77,1843.06,59.42,45,1
2013-08-12,3.51,0,12.23,45,1
2013-08-12,2.6,45.21,10.95,45,0
2013-08-15,19.27,159.97,97.3,45,3
2013-08-16,8.15,33.01,30.82,45,1
2013-08-17,10.53,197.57,42.28,45,1
2013-08-19,14.24,0,57.28,45,2
2013-08-20,16.19,114.63,78.78,45,1
2013-08-22,7.43,36.02,28.18,45,2
2013-08-22,3.29,0,16.87,45,0
2013-08-27,22.54,2240.52,125.37,45,5
2013-08-29,2.86,0,13.28,45,2
2013-08-29,5.04,69.27,20.05,45,0
2013-08-29,8.43,0,40.6,45,0
2013-08-31,10.22,4141.83,117.43,45,2
2013-09-02,14.76,1731.48,69.83,45,2
2013-09-03,4.36,62.93,23.52,45,1
2013-09-04,7.47,674.12,34.88,45,1
2013-09-04,4.03,64.04,20.5,45,0
2013-09-05,11.85,184.11,57.62,45,1
2013-09-05,17.06,1446.75,105.93,45,0
2013-09-07,4.72,438.95,22.85,45,2
2013-09-07,24.66,2363.25,132.45,45,0
2013-09-08,15.49,67.52,83.85,45,1
2013-09-09,10.24,0,40.85,45,1
2013-09-11,19.28,241.11,90.83,45,2
2013-09-13,15.89,119.93,74.52,45,2
2013-09-13,8.07,36.25,30.37,45,0
2013-09-14,18.51,566.39,74.2,45,1
2013-09-17,16.94,36.09,76.55,45,3
2013-09-17,7.72,198.16,31.48,45,0
2013-09-19,17.21,298.31,79.02,45,2
2013-09-21,9.82,1156.21,68.77,45,2
2013-09-22,31.75,3251.13,181.38,45,1
2013-09-24,10.79,0,40.88,45,2
2013-09-26,9.4,400.78,37.27,45,2
