Activity_Date,Distance_km,Elevation_Gain_ft,Time_min,Age,Days_Since_Last_Activity
2019-07-03,15.5,98.7,93.1,39,0
2019-07-08,9.3,68.09,54.9,39,5
2019-08-17,42.22,2120.04,325.52,39,40
2019-08-25,5.52,108.71,25.92,39,8
2019-08-30,18.5,2486.92,163.73,39,5
2019-09-02,3.65,53.12,20.1,39,3
2019-09-06,10.88,758.59,76.83,39,4
2019-09-13,22.72,808.56,162.07,39,7
2019-09-18,29.46,1590.48,257.55,39,5
2019-09-28,15.17,463.5,97,39,10
2019-10-01,7.81,109.13,45.15,39,3
2019-10-05,10.26,31.57,85.82,39,4
2019-10-07,8.61,227.97,48.07,39,2
2019-10-12,51.46,5680.49,458.9,39,5
2019-10-25,8.61,1413.76,75.78,39,13
2019-11-01,3.26,461.57,25.9,39,7
2019-11-10,4.03,53.05,23.67,39,9
2019-11-13,8.5,1240.71,68,39,3
2019-11-15,3.95,309.1,24.67,39,2
2019-11-17,3.81,74.46,19.83,39,2
2019-11-22,4.16,83.58,24.07,39,5
2019-11-29,9.79,223.54,54.12,39,7
2019-12-05,11.42,318.51,85.42,39,6
2019-12-09,7.26,157.97,43.92,39,4
2019-12-14,8.07,275.68,54.97,39,5
2019-12-30,11.74,322.41,75.73,39,16
2020-01-03,10.86,308.56,74.82,40,4
2020-01-06,18.51,577.5,120.05,40,3
2020-01-08,2.07,29.5,11.02,40,2
2020-01-13,13.85,484.09,96.32,40,5
2020-01-19,4.84,48.91,22.82,40,6
2020-01-20,1.61,14.3,6.08,40,1
2020-01-22,8.21,223.26,48.75,40,2
2020-01-27,14.18,267.4,95.33,40,5
2020-01-29,4.85,67.07,25.85,40,2
2020-02-01,9.66,213.59,63.1,40,3
2020-02-03,16.69,398.08,119.2,40,2
2020-02-05,10.17,275.12,181.38,40,2
2020-02-06,8.39,215.42,51.4,40,1
2020-02-08,17.39,567.48,131.3,40,2
2020-02-10,10.38,121.21,65.77,40,2
2020-02-15,16.91,425.55,125.6,40,5
2020-02-18,4.84,60.38,22.43,40,3
2020-02-20,9.58,284.85,53.08,40,2
2020-02-24,6.44,160.61,33.98,40,4
2020-02-27,11.89,1007.7,86.92,40,3
2020-02-28,8.67,517.93,131,40,1
2020-03-04,13.08,361.09,101.47,40,5
2020-03-09,26.57,715.22,163.72,40,5
2020-03-12,10.9,899.19,75.73,40,3
2020-03-16,16.28,474.37,101.85,40,4
2020-03-18,10.81,375.37,71.12,40,2
2020-03-21,19.31,407.55,128.98,40,3
2020-03-23,7.57,154.84,39.2,40,2
2020-03-27,3.54,68.76,25.9,40,4
2020-03-28,25.14,2909.73,224.35,40,1
2020-03-30,6.89,118.03,58.43,40,2
2020-04-01,8.15,298.81,59.98,40,2
2020-04-02,3.87,78.12,19.38,40,1
2020-04-04,8.81,152.83,52.43,40,2
2020-04-06,14.76,496.66,96.17,40,2
2020-04-10,7.95,167.52,51.87,40,4
2020-04-13,7.85,169.71,42.85,40,3
2020-04-18,59.03,3430.69,460.35,40,5
2020-04-21,4.29,44.9,19.97,40,3
2020-04-24,10.33,195.56,70.08,40,3
2020-05-04,2.4,56.85,19.77,40,10
2020-05-08,29.65,1687.19,225.22,40,4
2020-05-16,9.83,305.2,56.65,40,8
2020-05-30,1.63,35.2,8.68,40,14
2020-05-30,1.65,19.8,10.13,40,0
2020-06-03,4.72,44.44,26.42,40,4
2020-06-08,8.05,98.72,47.02,40,5
2020-06-10,3.33,619.91,32.45,40,2
2020-06-12,3.27,64.6,21.98,40,2
2020-06-15,9.66,293.55,57.42,40,3
2020-06-21,15.65,4458.97,337.05,40,6
2020-06-23,17.11,4245.1,161.45,40,2
2020-06-24,10.33,2415.6,205.77,40,1
2020-07-02,10.85,607.06,77.32,40,8
2020-07-06,8.77,793.39,61.6,40,4
2020-07-11,12.88,245.73,82.25,40,5
2020-07-16,13.74,745.55,102.2,40,5
2020-07-19,3.04,65.12,21.37,40,3
2020-07-23,19.06,695.01,133.42,40,4
2020-07-27,3.88,20.13,24.22,40,4
2020-07-30,9.45,257.47,56.92,40,3
2020-08-09,9.99,174.11,62.23,40,10
2020-08-13,14.1,300.5,97.67,40,4
2020-08-16,8.21,101.62,46.77,40,3
2020-08-17,3.98,32.99,20,40,1
2020-08-21,8.49,807.96,60.08,40,4
2020-08-23,10.85,185.62,60.02,40,2
2020-08-25,2.45,38.94,13.32,40,2
2020-08-28,53.27,5043.56,459.23,40,3
2020-09-07,4.08,66.04,24.55,40,10
2020-09-19,7.58,172.66,55.62,40,12
2020-09-20,5.68,75.41,33.95,40,1
2020-09-21,3.23,57.5,15.82,40,1
2020-09-23,3.23,68.97,15.95,40,2
2020-09-24,6.42,785.98,42,40,1
2020-09-26,6.23,786.85,42.37,40,2
2020-09-29,4.01,99.14,23.65,40,3
2020-10-03,50.64,6768.84,492.3,40,4
2020-10-08,8.98,406.57,56.58,40,5
2020-10-12,1.62,7.05,7.17,40,4
2020-10-15,9,773.4,59.97,40,3
2020-10-18,1.62,9.57,7.08,40,3
2020-10-20,1.89,0,13.97,40,2
2020-11-16,3.32,42.89,20.53,40,27
2020-11-20,9.32,114.77,61.27,40,4
2020-11-25,19.68,738.51,131.28,40,5
2020-11-28,12.47,912.76,113,40,3
2020-11-30,2.18,15.81,14.2,40,2
2020-12-05,6.58,180.9,43.95,40,5
2020-12-12,7.02,129.85,46.85,40,7
